h3,District,DS,GN,population_2020,schools,gas_stations,pharmacies,banks,supermarkets,poi_count,population_2020_score,bank_user_cx_score,beauty_cx_score,clothing_outlet_score,eat_out_seeker_cx_score,health_fitness_conscious_cx_score,insurance_cx_score,interest_in_property_cx_score,interest_in_vehicle_cx_score,interest_in_movie_cx_score,interest_in_music_cx_score,online_shopper_cx_score,overseas_travellers_cx_score,post_arpu_derived_score,prepaid_arpu_derived_score,selfcare_score,smart_phone_user_cx_score,social_media_cx_score,supermarket_cx_score,poi_count_score,cx_during_daytime_score,score,norm_score,rank
886103c997fffff,Kalutara,Walallawita,Pannila South,655.4763107,0,0,0,0,0,0,0.066656773,0.009640431,0.008989424,0.003704583,0.004913495,0.003260363,0.013138057,0.00577342,0.011885246,0.01609538,0.009360076,0.007350625,0.009428467,0.050679235,0.457664774,0.006557708,0.011669356,0.011635658,0.005741586,0,0.059838411,0.580742367,0.182393953,1
88611c948bfffff,Colombo,Padukka,Beruketiya,718.2187344,0,0,0,0,0,0,0.02865004,0.033991065,0.013303769,0.01129619,0.011820885,0.077861708,0.033249092,0.054579674,0.043667647,0.022430882,0.032075403,0.030390037,0.016058499,0.065593287,0.415433033,0.026586782,0.045572811,0.047139831,0.020862831,0,0.013859601,0.530539192,0.156559185,1
88611c899dfffff,Gampaha,Mirigama,Radawadunna Pahala,2361.395819,2,0,0,0,0,2,0.256889944,0.044786346,0.015942029,0.008688906,0.020025031,0.022432113,0.033963799,0.021643287,0.033560197,0.024625624,0.022898154,0.024663447,0.012628068,0.055337348,0.434718117,0.02473655,0.047991138,0.044149556,0.019161781,0.057142857,0.053306997,0.823250047,0.267604545,2
88610352a9fffff,Kalutara,Beruwala,Malewangoda,980.8173611,0,0,0,0,0,0,0.099741393,0.066489433,0.066980024,0.016361909,0.041799308,0.008383791,0.088951109,0.026143791,0.086547734,0.054644809,0.072588348,0.067940775,0.066982162,0.138563904,0.532806714,0.042070218,0.082785039,0.085085752,0.04398726,0,0.059795959,0.815099271,0.255998505,2
8861034a3dfffff,Kalutara,Bandaragama,Kamburugoda West,1549.758086,0,0,0,0,0,0,0.157598179,0.130991702,0.131022327,0.087865115,0.106643599,0.072892408,0.168640965,0.136165577,0.182497589,0.160457029,0.131900669,0.129686023,0.122315253,0.325117826,0.488649716,0.103914447,0.139535709,0.136678585,0.120513041,0,0.059773261,1.091878762,0.342926734,2
88611c1191fffff,Gampaha,Divulapitiya,Katukenda,495.8486662,0,0,0,0,0,0,0.053942052,0.021334247,0.008318841,0.01382467,0.00456821,0.017827627,0.022574741,0.021042084,0.022529923,0.024492512,0.021189337,0.016442298,0.015225161,0.060302946,0.51524006,0.012645591,0.022413009,0.022680036,0.007349724,0,0.053277024,0.636834783,0.207008652,2
88611c89d9fffff,Gampaha,Mirigama,Dambutuwa,1930.527608,4,0,0,0,1,5,0.210016942,0.005811636,0.002521739,0.000775795,0.002008761,0.00188902,0.005613179,0.000901804,0.004200892,0.002762063,0.002392344,0.00268215,0.001262807,0,0,0.00245147,0.005533026,0.005490716,0.002108671,0.142857143,0.053266533,0.354982756,0.115390214,1
88611c1319fffff,Gampaha,Mirigama,Ganegoda,887.8879196,0,0,0,0,0,0,0.096590955,0.025040488,0.012666667,0.006842514,0.012077597,0.02514758,0.026032133,0.021743487,0.02769303,0.022262895,0.016746411,0.014798068,0.014033834,0.12804087,0.471722523,0.013533001,0.029574093,0.027179499,0.007437221,0,0.053266159,0.703791569,0.228773534,2
88610352e3fffff,Kalutara,Beruwala,Adikarigoda,992.1488874,0,0,0,0,0,0,0.100893719,0.032465963,0.076145711,0.012111137,0.022975779,0.008686539,0.047598535,0.032244009,0.033027965,0.049677099,0.054250239,0.048199097,0.052784856,0.156501248,0.562300667,0.024818402,0.055562452,0.056946044,0.025049496,0,0.059741317,0.84474513,0.26530939,2
88611c8da3fffff,Gampaha,Minuwangoda,Dewalapola,767.7629314,0,0,0,0,0,0,0.083522879,0.081443877,0.035942029,0.016291699,0.036795995,0.029515939,0.071588367,0.036072144,0.058671673,0.029617304,0.055194805,0.062377967,0.028830117,0.062020775,0.486823175,0.052800887,0.085735198,0.084165087,0.053547992,0,0.053241806,0.685914821,0.222962542,2
